,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
257,国境以南 太阳以西,13,"[日] 村上春树 , 林少华 ", 2001-8 , 上海译文出版社 ,8.3,37岁的男主人公，在东京市区拥有两家兴旺的酒吧，还有娇美的妻子，可爱的女儿，他是一位真正的成功人士。但是，他的内心还是感到饥饿干渴，事业和家庭都填补不了，而...,29406,https://book.douban.com/subject/1015452/
258,小小小小的火,52,"[美] 伍绮诗 , 孙璐 ", 2018-4 , 江苏凤凰文艺出版社 ,8.3,☆ 《无声告白》作者新作：《小小小小的火》☆ 永远记得，你呼吸着的每一个瞬间，都应该去过你真正想要的生活。☆ 那年夏天，一把小小小小的火，烧掉了理查德森...,8609,https://book.douban.com/subject/30155720/
259,面纱,39,"[英] 威廉·萨默塞特·毛姆 , 于大卫 ", 2016-4-1 , 江西人民出版社 ,9.0,“那描画的面纱，芸芸众生称之为生活”凯蒂怎么也琢磨不透，丈夫到底有没有发现她出轨的秘密——偷情时门把手的转动、晚餐时意有所指的话语，还有突然要带她前往霍乱...,7499,https://book.douban.com/subject/26757680/
260,NULL,36,刘慈欣 , 2012-9-1 , 长江文艺出版社 ,8.5,1、本土科幻名家，均多次获得科幻最高奖“银河奖”，本土科幻的代表人物。 2、作家自选集，收录作者各个时期创作的代表作。 3、刘慈欣的《乡村教师》被改编成电影...,9280,https://book.douban.com/subject/10767124/
261,哈利·波特与混血王子,58,"[英] J. K. 罗琳 , 马爱农、马爱新 ", 2005-10 , 人民文学出版社 ,8.8,《哈利·波特与“混血王子”》是“哈利·波特”系列的第六部。仲夏的一个夜晚，反常的浓雾笼罩在窗户玻璃上，哈利·波特在女贞路4号德思礼家自己的卧室里紧张地等待...,84660,https://book.douban.com/subject/1432596/
262,荆棘鸟,28,"[澳] 考琳·麦卡洛 , 曾胡 ", 1998-7 , 译林出版社 ,8.6,《荆棘鸟》是一部澳大利亚的家世小说，以女主人公梅吉和神父拉尔夫的爱情纠葛为主线，描写了克利里一家三代人的故事，时间跨度长达半个多世纪。拉尔夫一心向往教会的权...,37869,https://book.douban.com/subject/1086249/
263,奥古斯都,56,"[美] 约翰·威廉斯 , 郑远涛 ", 2018-5 , 上海人民出版社 ,9.2,◆ 《斯通纳》作者约翰•威廉斯的扛鼎之作，获美国国家图书奖。不同于《斯通纳》在蒙尘50年后才重回大众视野，《奥古斯都》一面世即获美国国家图书奖，时隔40多...,1777,https://book.douban.com/subject/27180479/
264,NULL,58,"[英] 毛姆 著 , 陈以侃 ", 2019-1 , 理想国丨广西师范大学出版社 ,9.3,“《英国特工阿申登》是独一无二的，没有比这更伟大的间谍小说。”——雷蒙德•钱德勒“现代间谍小说始于毛姆的《英国特工阿申登》。”——朱利安•西蒙“毛姆是以...,289,https://book.douban.com/subject/30376534/
265,世界尽头与冷酷仙境,23,"[日] 村上春树 , 林少华 ", 2002-12 , 上海译文出版社 ,8.6,《世界尽头与冷酷仙境》是村上春树最重要的小说之一，与《挪威的森林》、《舞舞舞》合称为村上春树三大杰作。小说共40章，单数20章“冷酷仙境”，双数20章为“世...,31229,https://book.douban.com/subject/1291809/
266,悉达多,20,"[德] 赫尔曼·黑塞 , 杨玉功 译、丁君君 校 ", 2009-3 , 上海人民出版社 ,9.0,古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽...,17700,https://book.douban.com/subject/3406401/
